Date,Low,High,Close,Open
2023-03-03,15.53,16.55,16.36,15.74
2023-02-24,15.36,16.2,15.56,16.06
2023-02-17,16.15,16.85,16.36,16.25
2023-02-10,16.14,17.44,16.28,16.88
2023-02-03,15.91,17.3199,17.02,16.29
2023-01-27,15.73,16.81,16.43,16.39
2023-01-20,16.01,17.64,16.34,16.9
2023-01-13,14.23,17.07,17.02,14.25
2023-01-06,12.525,14.25,14.18,12.91
2022-12-30,12.25,12.825,12.72,12.62
2022-12-23,12.23,13.22,12.71,12.85
2022-12-16,12.59,14.74,12.81,13.49
2022-12-09,13.38,14.34,13.53,13.84
2022-12-02,13.6736,14.5693,13.97,14.34
2022-11-25,13.36,14.7,14.5,14.02
2022-11-18,13.68,15.18,14.05,14.79
2022-11-11,13.855,15.075,14.88,14.32
2022-11-04,13.2,14.535,14.11,14.03
2022-10-28,13.585,14.4799,14.0,13.75
2022-10-21,12.92,14.28,13.71,13.53
2022-10-14,11.79,13.5801,13.11,12.2
2022-10-07,11.6514,13.05,12.18,12.02
2022-09-30,11.85,12.8,12.04,12.18
2022-09-23,11.86,14.33,12.21,13.6
2022-09-16,13.27,14.67,13.75,14.35
2022-09-09,12.74,14.25,14.19,13.19
2022-09-02,12.5,13.7094,12.99,13.51
2022-08-26,13.59,14.54,13.74,13.78
2022-08-19,13.96,15.71,14.17,15.27
2022-08-12,14.38,15.46,15.25,14.87
2022-08-05,13.515,14.98,14.74,13.67
2022-07-29,13.29,14.035,13.71,13.62
2022-07-22,13.63,15.42,13.68,14.83
2022-07-15,13.31,15.04,14.47,13.82
2022-07-08,12.55,14.27,13.97,12.81
2022-07-01,12.25,14.48,13.13,13.955
2022-06-24,12.58,13.96,13.9,13.215
2022-06-17,11.93,14.16,12.94,14.12
2022-06-10,14.71,16.73,14.71,16.53
2022-06-03,16.09,18.22,16.22,17.7
2022-05-27,15.32,18.21,18.13,16.43
2022-05-20,15.83,17.835,16.26,16.5
2022-05-13,15.09,17.575,16.58,17.36
2022-05-06,17.61,19.64,17.84,18.75
2022-04-29,18.47,20.15,18.77,19.975
2022-04-22,18.47,21.42,20.18,18.86
2022-04-14,16.41,19.49,19.0,16.5
2022-04-08,16.37,18.57,16.59,18.16
2022-04-01,16.82,18.45,18.24,17.27
2022-03-25,15.9,17.44,17.01,16.5
2022-03-18,13.7,16.84,16.75,14.04
2022-03-11,12.4401,14.75,14.02,14.32
2022-03-04,14.42,17.425,14.59,17.04
2022-02-25,15.48,17.95,17.46,17.44
2022-02-18,17.35,19.11,17.87,17.85
2022-02-11,16.64,19.08,17.61,16.69
2022-02-04,15.4,17.175,16.45,15.55
2022-01-28,14.905,16.97,15.64,15.85
2022-01-21,16.09,18.61,16.3,18.23
2022-01-14,18.35,19.7597,18.49,19.24
2022-01-07,18.2,19.59,19.28,18.23
2021-12-31,17.545,18.64,17.96,17.66
2021-12-23,16.455,18.72,18.26,16.5
2021-12-17,16.275,17.65,16.95,17.55
2021-12-10,16.91,18.87,18.01,16.95
2021-12-03,16.15,18.26,16.62,18.15
2021-11-26,16.9,20.1409,17.75,19.56
2021-11-19,18.94,20.565,19.28,20.4
2021-11-12,20.06,22.35,20.29,22.19
2021-11-05,18.8745,22.06,21.82,19.09
2021-10-29,18.85,19.815,19.2,19.16
2021-10-22,19.03,20.15,19.15,19.92
2021-10-15,19.53,20.51,19.98,19.98
2021-10-08,19.88,22.08,20.07,21.915
2021-10-01,20.37,22.19,21.65,21.77
2021-09-24,19.3363,21.62,21.39,19.72
2021-09-17,18.643,20.32,19.73,19.16
2021-09-10,18.93,20.61,18.95,19.36
2021-09-03,19.32,20.3,19.37,20.29
2021-08-27,18.81,20.44,20.22,18.88
2021-08-20,18.29,20.02,18.5,19.631
2021-08-13,19.75,21.49,19.84,20.765
2021-08-06,19.31,21.22,21.02,20.49
2021-07-30,20.24,22.155,20.38,21.03
2021-07-23,18.28,21.69,21.2,18.83
2021-07-16,19.72,21.57,19.79,20.72
2021-07-09,19.655,21.79,20.89,21.5
2021-07-02,20.94,22.09,21.48,22.09
2021-06-25,21.845,22.545,22.22,22.3178
2021-06-18,21.825,23.74,22.29,23.49
2021-06-11,23.26,24.7712,23.53,24.49
2021-06-04,24.255,26.04,24.3,24.68
2021-05-28,22.35,24.82,24.24,22.85
2021-05-21,22.1,23.94,22.57,22.32
2021-05-14,20.62,22.54,22.4,22.23
2021-05-07,20.94,22.19,22.0,21.87
2021-04-30,21.075,22.15,21.72,21.52
2021-04-23,19.64,21.985,21.11,21.97
2021-04-16,21.66,23.35,22.03,23.232
2021-04-09,22.63,24.85,23.54,24.46
2021-04-01,22.395,24.225,23.86,23.16
2021-03-26,21.02,24.7,22.93,24.62
2021-03-19,23.88,26.09,24.97,24.55
2021-03-12,20.65,23.54,23.37,20.78
2021-03-05,18.94,22.59,20.45,21.75
2021-02-26,18.74,22.44,20.94,19.84
2021-02-19,17.45,18.83,18.68,17.63
2021-02-12,16.79,18.09,17.27,17.32
2021-02-05,16.33,17.72,17.19,17.25
2021-01-29,15.02,21.77,17.17,15.52
2021-01-22,15.46,16.39,15.82,15.99
2021-01-15,14.71,16.6,15.76,14.82
2021-01-08,14.87,15.88,15.13,15.85
2020-12-31,15.625,16.46,15.77,15.97
2020-12-24,15.45,16.38,15.66,15.77
2020-12-18,16.16,17.81,16.51,17.52
2020-12-11,16.47,18.63,17.05,16.54
2020-12-04,13.85,16.93,16.4,14.92
2020-11-27,12.69,15.56,14.98,12.75
2020-11-20,12.23,13.36,12.53,12.87
2020-11-13,11.65,14.41,12.24,14.33
2020-11-06,10.87,11.67,11.46,11.32
2020-10-30,10.63,12.45,11.28,12.39
2020-10-23,12.42,13.29,12.6,12.64
2020-10-16,11.97,13.17,12.46,13.14
2020-10-09,12.46,13.68,13.2,13.09
2020-10-02,12.0,13.35,13.0,12.74
2020-09-25,11.22,12.98,12.29,12.82
2020-09-18,12.9,14.08,13.19,13.02
2020-09-11,12.68,14.16,12.95,13.36
2020-09-04,12.66,14.07,13.61,13.6
2020-08-28,12.27,14.26,13.59,12.44
2020-08-21,12.09,13.44,12.16,13.32
2020-08-14,13.01,15.1,13.33,13.29
2020-08-07,10.71,13.29,13.03,11.07
2020-07-31,10.8,11.995,11.12,11.48
2020-07-24,11.01,12.51,11.39,11.93
2020-07-17,11.22,13.48,11.91,12.13
2020-07-10,10.98,12.92,11.94,12.8
2020-07-02,12.02,14.29,12.5,12.57
2020-06-26,12.13,15.52,12.38,14.9
2020-06-19,15.08,18.44,16.0,15.27
2020-06-12,14.07,20.36,16.74,19.86
2020-06-05,10.62,22.8,18.59,10.79
2020-05-29,10.25,12.55,10.5,10.27
2020-05-22,9.36,10.19,9.7,9.62
2020-05-15,8.25,10.25,9.04,9.92
2020-05-08,9.09,10.38,10.14,9.41
2020-05-01,10.0,12.89,10.64,10.53
2020-04-24,9.9,11.35,10.31,11.15
2020-04-17,11.05,12.95,11.57,12.9
2020-04-09,9.11,13.4,12.51,9.72
2020-04-03,9.09,13.22,9.39,13.2
2020-03-27,10.01,17.24,14.04,10.9
2020-03-20,10.01,18.49,10.38,12.4065
2020-03-13,13.12,17.67,14.31,14.87
2020-03-06,14.8,19.79,15.97,19.05
2020-02-28,18.77,26.11,19.05,25.98
2020-02-21,27.17,29.345,27.82,29.04
2020-02-14,27.98,30.78,29.2,28.19
2020-02-07,26.74,29.4498,28.38,26.93
2020-01-31,25.37,27.79,26.84,26.57
2020-01-24,26.04,28.99,27.64,27.97
2020-01-17,27.155,28.72,28.4,27.32
